Date,Time,Time.Fraction,Site.Name,Chlorophyll.RFU,Chlorophyll.ugL,Conductivity.uscm,Depth.m,ODO.sat,ODO.mgL,Sal.psu,pH,Temp.C,Battery.V,Date.Time
5/27/21,12:14:42,0,Deployment Site,1.01,1.72,40020.1,2.128,126.6,10.65,33.36,8.44,13.84,2.7,5/27/21 12:14
5/27/21,12:19:42,0,Deployment Site,1.06,1.92,40017.8,2.129,126.6,10.65,33.35,8.44,13.843,2.7,5/27/21 12:19
5/27/21,12:24:42,0,Deployment Site,1.41,3.33,40024.5,2.128,126.6,10.65,33.36,8.44,13.845,2.7,5/27/21 12:24
5/27/21,12:29:42,0,Deployment Site,0.89,1.25,40032.4,2.128,126.3,10.62,33.36,8.44,13.857,2.7,5/27/21 12:29
5/27/21,12:34:42,0,Deployment Site,0.88,1.21,40043.5,2.128,126,10.6,33.35,8.44,13.873,2.7,5/27/21 12:34
5/27/21,12:39:42,0,Deployment Site,0.81,0.95,40050.1,2.129,126,10.59,33.35,8.44,13.881,2.7,5/27/21 12:39
5/27/21,12:44:42,0,Deployment Site,0.73,0.6,40028,2.129,126.8,10.66,33.35,8.44,13.853,2.7,5/27/21 12:44
5/27/21,12:49:42,0,Deployment Site,0.45,-0.52,40074.4,2.128,125.9,10.58,33.35,8.43,13.914,2.7,5/27/21 12:49
5/27/21,12:54:42,0,Deployment Site,0.57,-0.02,40068.2,2.129,126.1,10.6,33.35,8.44,13.904,2.7,5/27/21 12:54
5/27/21,12:59:42,0,Deployment Site,0.63,0.21,40064.1,2.13,126.2,10.6,33.31,8.43,13.941,2.7,5/27/21 12:59
5/27/21,13:04:42,0,Deployment Site,0.93,1.4,40042,2.131,126.6,10.63,33.31,8.43,13.916,2.7,5/27/21 13:04
5/27/21,13:09:42,0,Deployment Site,1.1,2.09,40047,2.131,126.6,10.63,33.31,8.43,13.92,2.7,5/27/21 13:09
5/27/21,13:14:42,0,Deployment Site,1.33,3,39992.1,2.131,127.5,10.72,33.3,8.44,13.879,2.7,5/27/21 13:14
5/27/21,13:19:42,0,Deployment Site,1.24,2.65,39972.7,2.132,128,10.77,33.31,8.44,13.847,2.71,5/27/21 13:19
5/27/21,13:24:42,0,Deployment Site,1,1.71,39958.7,2.132,128.1,10.78,33.31,8.44,13.834,2.7,5/27/21 13:24
5/27/21,13:29:42,0,Deployment Site,1.32,2.96,39962.3,2.134,128.2,10.79,33.31,8.44,13.837,2.7,5/27/21 13:29
5/27/21,13:34:42,0,Deployment Site,1.24,2.65,39988.1,2.134,127.5,10.72,33.27,8.44,13.911,2.7,5/27/21 13:34
5/27/21,13:39:42,0,Deployment Site,1.2,2.5,39984,2.135,128.3,10.79,33.31,8.44,13.852,2.7,5/27/21 13:39
5/27/21,13:44:42,0,Deployment Site,1.47,3.56,39996.5,2.137,128.6,10.82,33.31,8.44,13.865,2.7,5/27/21 13:44
5/27/21,13:49:42,0,Deployment Site,1.37,3.15,39966.8,2.136,127.1,10.69,33.31,8.44,13.838,2.69,5/27/21 13:49
5/27/21,13:54:42,0,Deployment Site,0.98,1.59,39991.3,2.136,127,10.68,33.29,8.44,13.884,2.7,5/27/21 13:54
5/27/21,13:59:42,0,Deployment Site,0.81,0.92,39954.9,2.137,124.8,10.51,33.32,8.42,13.816,2.7,5/27/21 13:59
5/27/21,14:04:42,0,Deployment Site,1.28,2.81,39947.3,2.14,124.6,10.49,33.33,8.42,13.797,2.71,5/27/21 14:04
5/27/21,14:09:42,0,Deployment Site,1.27,2.76,39941.4,2.139,124.8,10.51,33.35,8.42,13.764,2.71,5/27/21 14:09
5/27/21,14:14:42,0,Deployment Site,2.14,6.25,39947.7,2.14,125.1,10.53,33.34,8.42,13.782,2.71,5/27/21 14:14
5/27/21,14:19:42,0,Deployment Site,2.13,6.2,39960,2.141,125.4,10.56,33.35,8.43,13.79,2.69,5/27/21 14:19
5/27/21,14:24:42,0,Deployment Site,0.84,1.03,39974.9,2.142,126.5,10.65,33.34,8.43,13.811,2.69,5/27/21 14:24
5/27/21,14:29:42,0,Deployment Site,0.35,-0.93,39941,2.143,124.8,10.51,33.33,8.42,13.791,2.71,5/27/21 14:29
5/27/21,14:34:42,0,Deployment Site,0.9,1.27,39978.1,2.144,128,10.78,33.35,8.44,13.803,2.69,5/27/21 14:34
5/27/21,14:39:42,0,Deployment Site,1.12,2.19,39978.4,2.145,128.2,10.79,33.35,8.44,13.805,2.7,5/27/21 14:39
5/27/21,14:44:42,0,Deployment Site,1.03,1.8,39979.7,2.145,128.3,10.8,33.36,8.44,13.8,2.69,5/27/21 14:44
5/27/21,14:49:42,0,Deployment Site,1.1,2.1,39970.5,2.146,128.2,10.8,33.36,8.44,13.79,2.7,5/27/21 14:49
5/27/21,14:54:42,0,Deployment Site,1.07,1.96,39969.5,2.146,128.2,10.8,33.36,8.44,13.787,2.69,5/27/21 14:54
5/27/21,14:59:42,0,Deployment Site,0.96,1.55,39990.4,2.147,128.4,10.81,33.35,8.44,13.814,2.69,5/27/21 14:59
5/27/21,15:04:42,0,Deployment Site,1.05,1.9,39991,2.148,128.4,10.81,33.36,8.44,13.812,2.7,5/27/21 15:04
5/27/21,15:09:42,0,Deployment Site,1.21,2.53,39970.4,2.149,128,10.78,33.36,8.44,13.785,2.69,5/27/21 15:09
5/27/21,15:14:42,0,Deployment Site,1.32,2.98,39981.1,2.15,127.9,10.77,33.35,8.44,13.807,2.7,5/27/21 15:14
5/27/21,15:19:42,0,Deployment Site,0.89,1.27,39943.6,2.151,126.4,10.65,33.37,8.43,13.747,2.7,5/27/21 15:19
5/27/21,15:24:42,0,Deployment Site,4.49,15.64,39909.3,2.149,125,10.55,33.37,8.42,13.708,2.7,5/27/21 15:24
5/27/21,15:29:42,0,Deployment Site,0.98,1.61,39913.9,2.146,124.8,10.53,33.38,8.42,13.705,2.7,5/27/21 15:29
5/27/21,15:34:42,0,Deployment Site,4.44,15.46,39915.9,2.147,124.9,10.53,33.37,8.42,13.714,2.68,5/27/21 15:34
5/27/21,15:39:42,0,Deployment Site,0.76,0.75,39950.5,2.147,125.6,10.58,33.37,8.42,13.755,2.7,5/27/21 15:39
5/27/21,15:44:42,0,Deployment Site,12.43,47.42,39982.9,2.148,126.1,10.62,33.36,8.43,13.794,2.7,5/27/21 15:44
5/27/21,15:49:42,0,Deployment Site,1.38,3.22,39986.9,2.15,126.2,10.63,33.36,8.43,13.798,2.7,5/27/21 15:49
5/27/21,15:54:42,0,Deployment Site,14.15,54.29,39976.3,2.15,126,10.61,33.37,8.43,13.784,2.7,5/27/21 15:54
5/27/21,15:59:42,0,Deployment Site,1.32,2.97,39971,2.151,126,10.61,33.36,8.43,13.782,2.69,5/27/21 15:59
5/27/21,16:04:42,0,Deployment Site,2.37,7.18,39979.8,2.151,126.2,10.63,33.37,8.43,13.787,2.7,5/27/21 16:04
5/27/21,16:09:42,0,Deployment Site,3.46,11.53,39966.2,2.152,126,10.61,33.37,8.43,13.772,2.7,5/27/21 16:09
5/27/21,16:14:42,0,Deployment Site,2.12,6.19,39953.3,2.151,125.8,10.6,33.37,8.42,13.759,2.7,5/27/21 16:14
5/27/21,16:19:42,0,Deployment Site,1.44,3.46,39937.3,2.152,125.5,10.58,33.37,8.42,13.739,2.7,5/27/21 16:19
5/27/21,16:24:42,0,Deployment Site,1.3,2.91,39928.5,2.155,125.2,10.56,33.38,8.42,13.723,2.69,5/27/21 16:24
5/27/21,16:29:42,0,Deployment Site,0.9,1.31,39902.6,2.16,124.5,10.51,33.39,8.42,13.679,2.7,5/27/21 16:29
5/27/21,16:34:42,0,Deployment Site,1.69,4.43,39963.6,2.162,125.3,10.55,33.37,8.42,13.767,2.7,5/27/21 16:34
5/27/21,16:39:42,0,Deployment Site,1,1.68,39927.7,2.16,123.9,10.45,33.38,8.41,13.715,2.7,5/27/21 16:39
5/27/21,16:44:42,0,Deployment Site,0.98,1.59,39904,2.161,123.9,10.45,33.38,8.41,13.691,2.7,5/27/21 16:44
5/27/21,16:49:42,0,Deployment Site,0.94,1.45,39892.9,2.164,123.6,10.43,33.38,8.41,13.68,2.69,5/27/21 16:49
5/27/21,16:54:42,0,Deployment Site,0.83,1.01,39840.7,2.166,122.6,10.36,33.39,8.4,13.611,2.68,5/27/21 16:54
5/27/21,16:59:42,0,Deployment Site,0.95,1.48,39819.4,2.166,121.6,10.28,33.38,8.4,13.603,2.69,5/27/21 16:59
5/27/21,17:04:42,0,Deployment Site,1.05,1.91,39793.6,2.168,120.6,10.2,33.38,8.39,13.577,2.69,5/27/21 17:04
5/27/21,17:09:42,0,Deployment Site,1.04,1.85,39807,2.171,120.6,10.19,33.37,8.39,13.601,2.7,5/27/21 17:09
5/27/21,17:14:42,0,Deployment Site,0.94,1.44,39877.5,2.173,121.9,10.28,33.34,8.4,13.709,2.69,5/27/21 17:14
5/27/21,17:19:42,0,Deployment Site,0.78,0.8,39988,2.176,124.1,10.44,33.32,8.42,13.852,2.7,5/27/21 17:19
5/27/21,17:24:42,0,Deployment Site,0.88,1.21,39936.7,2.177,123,10.36,33.31,8.41,13.805,2.7,5/27/21 17:24
5/27/21,17:29:42,0,Deployment Site,0.62,0.18,40024.3,2.179,124.5,10.46,33.3,8.42,13.909,2.69,5/27/21 17:29
5/27/21,17:34:42,0,Deployment Site,0.66,0.34,40044.9,2.18,125,10.49,33.3,8.43,13.936,2.7,5/27/21 17:34
5/27/21,17:39:42,0,Deployment Site,0.76,0.73,40062.7,2.18,125,10.5,33.3,8.43,13.951,2.68,5/27/21 17:39
5/27/21,17:44:42,0,Deployment Site,0.74,0.66,40056.8,2.182,125,10.5,33.31,8.43,13.936,2.7,5/27/21 17:44
5/27/21,17:49:42,0,Deployment Site,0.75,0.69,40040.9,2.183,125.2,10.52,33.33,8.42,13.897,2.7,5/27/21 17:49
5/27/21,17:54:42,0,Deployment Site,1.07,1.97,39983.9,2.182,124.6,10.49,33.35,8.42,13.81,2.69,5/27/21 17:54
5/27/21,17:59:42,0,Deployment Site,0.97,1.57,40027.2,2.185,124.9,10.51,33.35,8.42,13.856,2.7,5/27/21 17:59
5/27/21,18:04:42,0,Deployment Site,0.95,1.5,40019.3,2.187,124.8,10.5,33.35,8.42,13.849,2.68,5/27/21 18:04
5/27/21,18:09:42,0,Deployment Site,1.17,2.38,40005.8,2.187,124.4,10.47,33.35,8.42,13.833,2.68,5/27/21 18:09
5/27/21,18:14:42,0,Deployment Site,1.25,2.67,40027.1,2.188,124.5,10.47,33.34,8.42,13.864,2.7,5/27/21 18:14
5/27/21,18:19:42,0,Deployment Site,1.01,1.72,40021.3,2.192,124.3,10.46,33.34,8.42,13.86,2.68,5/27/21 18:19
5/27/21,18:24:42,0,Deployment Site,1.24,2.65,40011.7,2.192,124,10.43,33.34,8.42,13.857,2.69,5/27/21 18:24
5/27/21,18:29:42,0,Deployment Site,1.29,2.86,39986.5,2.196,123.9,10.43,33.35,8.42,13.81,2.68,5/27/21 18:29
5/27/21,18:34:42,0,Deployment Site,1.24,2.64,39991.9,2.201,124.2,10.45,33.34,8.42,13.827,2.69,5/27/21 18:34
5/27/21,18:39:42,0,Deployment Site,1.46,3.51,40000.8,2.197,124.1,10.44,33.34,8.42,13.838,2.69,5/27/21 18:39
5/27/21,18:44:42,0,Deployment Site,1.3,2.91,39954.1,2.201,124.3,10.47,33.36,8.42,13.768,2.69,5/27/21 18:44
5/27/21,18:49:42,0,Deployment Site,1.16,2.31,39956.3,2.203,124.1,10.45,33.36,8.42,13.77,2.7,5/27/21 18:49
5/27/21,18:54:42,0,Deployment Site,1.49,3.64,39939.2,2.205,122.7,10.34,33.36,8.41,13.748,2.68,5/27/21 18:54
5/27/21,18:59:42,0,Deployment Site,1.29,2.84,39907.1,2.207,122,10.29,33.37,8.41,13.712,2.68,5/27/21 18:59
5/27/21,19:04:42,0,Deployment Site,1.78,4.81,39884.6,2.209,121.9,10.28,33.37,8.4,13.677,2.7,5/27/21 19:04
5/27/21,19:09:42,0,Deployment Site,0.54,-0.13,39904.8,2.209,122.2,10.3,33.37,8.41,13.708,2.69,5/27/21 19:09
5/27/21,19:14:42,0,Deployment Site,6.06,21.94,39904.5,2.212,122,10.29,33.37,8.41,13.704,2.69,5/27/21 19:14
5/27/21,19:19:42,0,Deployment Site,0.67,0.38,39866.2,2.214,121.4,10.25,33.38,8.4,13.653,2.68,5/27/21 19:19
5/27/21,19:24:42,0,Deployment Site,1.81,4.94,39894.2,2.214,121.5,10.25,33.36,8.41,13.702,2.7,5/27/21 19:24
5/27/21,19:29:42,0,Deployment Site,2.08,6.03,39889.6,2.216,121.4,10.25,33.36,8.41,13.693,2.69,5/27/21 19:29
5/27/21,19:34:42,0,Deployment Site,0.92,1.38,39879.6,2.217,121.3,10.24,33.37,8.41,13.68,2.68,5/27/21 19:34
5/27/21,19:39:42,0,Deployment Site,1.59,4.06,39851.4,2.218,120.6,10.19,33.36,8.4,13.657,2.7,5/27/21 19:39
5/27/21,19:44:42,0,Deployment Site,1.33,3.02,39859.7,2.221,120.6,10.19,33.37,8.4,13.661,2.68,5/27/21 19:44
5/27/21,19:49:42,0,Deployment Site,1.56,3.94,39875.6,2.222,120.8,10.19,33.35,8.4,13.699,2.68,5/27/21 19:49
5/27/21,19:54:42,0,Deployment Site,1.06,1.93,39840.1,2.224,120.9,10.21,33.37,8.4,13.632,2.7,5/27/21 19:54
5/27/21,19:59:42,0,Deployment Site,3.2,10.49,39776.5,2.224,119.7,10.13,33.39,8.39,13.546,2.69,5/27/21 19:59
5/27/21,20:04:42,0,Deployment Site,1.85,5.08,39667.8,2.225,117,9.93,33.4,8.37,13.413,2.7,5/27/21 20:04
5/27/21,20:09:42,0,Deployment Site,4.26,14.72,39607.6,2.225,114.5,9.73,33.4,8.35,13.355,2.69,5/27/21 20:09
5/27/21,20:14:42,0,Deployment Site,8.86,33.14,39656.8,2.225,115,9.76,33.39,8.36,13.419,2.68,5/27/21 20:14
5/27/21,20:19:42,0,Deployment Site,1.42,3.38,39684.9,2.225,115.7,9.81,33.38,8.37,13.457,2.7,5/27/21 20:19
5/27/21,20:24:42,0,Deployment Site,2.69,8.45,39719.1,2.224,116.9,9.9,33.37,8.37,13.501,2.69,5/27/21 20:24
5/27/21,20:29:42,0,Deployment Site,3.15,10.31,39683.1,2.225,115.8,9.82,33.38,8.36,13.449,2.69,5/27/21 20:29
5/27/21,20:34:42,0,Deployment Site,0.54,-0.15,39723.3,2.225,116.9,9.9,33.38,8.37,13.494,2.68,5/27/21 20:34
5/27/21,20:39:42,0,Deployment Site,1.84,5.07,39721.7,2.225,116.3,9.85,33.38,8.37,13.498,2.69,5/27/21 20:39
5/27/21,20:44:42,0,Deployment Site,2.12,6.18,39741.5,2.226,117.3,9.93,33.38,8.38,13.52,2.69,5/27/21 20:44
5/27/21,20:49:42,0,Deployment Site,3.94,13.44,39702.2,2.228,117.3,9.94,33.39,8.38,13.468,2.68,5/27/21 20:49
5/27/21,20:54:42,0,Deployment Site,4.45,15.49,39695.3,2.226,117.4,9.95,33.39,8.38,13.457,2.68,5/27/21 20:54
5/27/21,20:59:42,0,Deployment Site,1.04,1.83,39695.8,2.229,117.3,9.94,33.39,8.38,13.457,2.68,5/27/21 20:59
5/27/21,21:04:42,0,Deployment Site,5.41,19.34,39698.5,2.227,117.3,9.94,33.39,8.38,13.458,2.69,5/27/21 21:04
5/27/21,21:09:42,0,Deployment Site,3.06,9.92,39707.2,2.225,117.4,9.95,33.38,8.38,13.476,2.69,5/27/21 21:09
5/27/21,21:14:42,0,Deployment Site,2.08,6,39691.7,2.229,117.2,9.93,33.38,8.38,13.458,2.68,5/27/21 21:14
5/27/21,21:19:42,0,Deployment Site,3.68,12.42,39711.5,2.227,117.6,9.97,33.39,8.38,13.477,2.69,5/27/21 21:19
5/27/21,21:24:42,0,Deployment Site,3.97,13.55,39724.3,2.228,117.7,9.97,33.38,8.38,13.495,2.68,5/27/21 21:24
5/27/21,21:29:42,0,Deployment Site,1.3,2.91,39746.3,2.23,117.8,9.97,33.38,8.39,13.526,2.68,5/27/21 21:29
5/27/21,21:34:42,0,Deployment Site,2.81,8.95,39789.9,2.229,118.3,10.01,33.38,8.39,13.572,2.69,5/27/21 21:34
5/27/21,21:39:42,0,Deployment Site,2.5,7.69,39766.5,2.229,117.9,9.98,33.38,8.39,13.546,2.69,5/27/21 21:39
5/27/21,21:44:42,0,Deployment Site,3.43,11.42,39743.8,2.228,117.6,9.96,33.38,8.39,13.515,2.68,5/27/21 21:44
5/27/21,21:49:42,0,Deployment Site,3.38,11.2,39780.6,2.228,118.1,9.99,33.38,8.39,13.558,2.67,5/27/21 21:49
5/27/21,21:54:42,0,Deployment Site,4.49,15.64,39757.1,2.226,117.7,9.96,33.38,8.39,13.529,2.69,5/27/21 21:54
5/27/21,21:59:42,0,Deployment Site,3.55,11.91,39732.7,2.223,117.3,9.93,33.39,8.38,13.497,2.68,5/27/21 21:59
5/27/21,22:04:42,0,Deployment Site,9.85,37.1,39749,2.222,117.4,9.94,33.39,8.39,13.514,2.69,5/27/21 22:04
5/27/21,22:09:42,0,Deployment Site,0.78,0.81,39731.1,2.222,117.2,9.92,33.39,8.38,13.497,2.69,5/27/21 22:09
5/27/21,22:14:42,0,Deployment Site,2.53,7.81,39733,2.22,117.1,9.92,33.39,8.39,13.499,2.67,5/27/21 22:14
5/27/21,22:19:42,0,Deployment Site,3.43,11.41,39764,2.221,117.2,9.92,33.39,8.39,13.533,2.69,5/27/21 22:19
5/27/21,22:24:42,0,Deployment Site,1.36,3.11,39723.4,2.222,116.9,9.9,33.39,8.38,13.492,2.69,5/27/21 22:24
5/27/21,22:29:42,0,Deployment Site,1.07,1.99,39777.9,2.222,117.5,9.94,33.38,8.39,13.551,2.68,5/27/21 22:29
5/27/21,22:34:42,0,Deployment Site,5.19,18.44,39770.9,2.22,117.3,9.93,33.39,8.39,13.539,2.69,5/27/21 22:34
5/27/21,22:39:42,0,Deployment Site,5.06,17.91,39798.7,2.222,117.5,9.94,33.38,8.39,13.575,2.68,5/27/21 22:39
5/27/21,22:44:42,0,Deployment Site,2.39,7.24,39767,2.22,117.4,9.93,33.37,8.39,13.551,2.69,5/27/21 22:44
5/27/21,22:49:42,0,Deployment Site,1.95,5.49,39765.8,2.221,117.5,9.94,33.37,8.39,13.558,2.69,5/27/21 22:49
5/27/21,22:54:42,0,Deployment Site,1.53,3.82,39752.8,2.221,117.3,9.93,33.36,8.39,13.556,2.68,5/27/21 22:54
5/27/21,22:59:42,0,Deployment Site,1.64,4.23,39748.1,2.22,117.2,9.91,33.34,8.4,13.567,2.69,5/27/21 22:59
5/27/21,23:04:42,0,Deployment Site,3.06,9.93,39748.4,2.221,116.9,9.9,33.38,8.39,13.523,2.67,5/27/21 23:04
5/27/21,23:09:42,0,Deployment Site,1.09,2.04,39751.9,2.219,116.7,9.88,33.37,8.39,13.536,2.69,5/27/21 23:09
5/27/21,23:14:42,0,Deployment Site,1.3,2.88,39728.9,2.221,116.6,9.87,33.39,8.38,13.494,2.69,5/27/21 23:14
5/27/21,23:19:42,0,Deployment Site,2.43,7.42,39759.4,2.224,117,9.9,33.37,8.39,13.543,2.68,5/27/21 23:19
5/27/21,23:24:42,0,Deployment Site,1.13,2.2,39689,2.222,116.4,9.86,33.32,8.39,13.524,2.68,5/27/21 23:24
5/27/21,23:29:42,0,Deployment Site,1.01,1.73,39713.5,2.219,116.4,9.86,33.35,8.39,13.526,2.68,5/27/21 23:29
5/27/21,23:34:42,0,Deployment Site,1.96,5.52,39727.4,2.222,116.6,9.88,33.35,8.39,13.532,2.68,5/27/21 23:34
5/27/21,23:39:42,0,Deployment Site,2.06,5.94,39726.5,2.221,116.5,9.87,33.36,8.39,13.525,2.69,5/27/21 23:39
5/27/21,23:44:42,0,Deployment Site,1.16,2.33,39744.4,2.223,116.9,9.89,33.37,8.39,13.535,2.68,5/27/21 23:44
5/27/21,23:49:42,0,Deployment Site,1.34,3.05,39716.6,2.223,116.4,9.85,33.36,8.39,13.513,2.68,5/27/21 23:49
5/27/21,23:54:42,0,Deployment Site,3.69,12.43,39712.9,2.224,116.3,9.85,33.36,8.39,13.511,2.68,5/27/21 23:54
5/27/21,23:59:42,0,Deployment Site,1.12,2.15,39693.7,2.225,116,9.83,33.34,8.39,13.508,2.68,5/27/21 23:59
5/28/21,0:04:42,0,Deployment Site,3.23,10.6,39703,2.224,116,9.83,33.37,8.39,13.486,2.68,5/28/21 0:04
5/28/21,0:09:42,0,Deployment Site,1.66,4.34,39688.1,2.223,115.9,9.82,33.36,8.39,13.48,2.67,5/28/21 0:09
5/28/21,0:14:42,0,Deployment Site,3.8,12.87,39687.2,2.224,116,9.83,33.35,8.39,13.488,2.69,5/28/21 0:14
5/28/21,0:19:42,0,Deployment Site,4.85,17.08,39687,2.226,116,9.83,33.35,8.39,13.489,2.68,5/28/21 0:19
5/28/21,0:24:42,0,Deployment Site,1.83,5.03,39688.8,2.225,116,9.83,33.35,8.39,13.496,2.68,5/28/21 0:24
5/28/21,0:29:42,0,Deployment Site,1.19,2.43,39695.6,2.226,116,9.83,33.35,8.39,13.501,2.69,5/28/21 0:29
5/28/21,0:34:42,0,Deployment Site,1.19,2.45,39707,2.226,116,9.82,33.36,8.39,13.507,2.67,5/28/21 0:34
5/28/21,0:39:42,0,Deployment Site,4.2,14.48,39703.4,2.227,116.1,9.83,33.35,8.39,13.508,2.67,5/28/21 0:39
5/28/21,0:44:42,0,Deployment Site,3.16,10.32,39700.5,2.23,116,9.82,33.35,8.39,13.507,2.67,5/28/21 0:44
5/28/21,0:49:42,0,Deployment Site,5.15,18.3,39691.7,2.231,115.9,9.82,33.35,8.39,13.504,2.67,5/28/21 0:49
5/28/21,0:54:42,0,Deployment Site,2.14,6.26,39687.6,2.232,115.9,9.82,33.34,8.39,13.502,2.69,5/28/21 0:54
5/28/21,0:59:42,0,Deployment Site,1.88,5.22,39678.5,2.233,115.8,9.81,33.33,8.39,13.501,2.68,5/28/21 0:59
5/28/21,1:04:42,0,Deployment Site,6.61,24.11,39706.7,2.234,115.9,9.82,33.34,8.39,13.523,2.67,5/28/21 1:04
5/28/21,1:09:42,0,Deployment Site,1.32,2.98,39706.3,2.233,116.1,9.83,33.34,8.39,13.522,2.68,5/28/21 1:09
5/28/21,1:14:42,0,Deployment Site,4.26,14.74,39703.7,2.236,115.9,9.82,33.34,8.39,13.526,2.67,5/28/21 1:14
5/28/21,1:19:42,0,Deployment Site,2.72,8.55,39788.9,2.235,117,9.89,33.36,8.4,13.591,2.68,5/28/21 1:19
5/28/21,1:24:42,0,Deployment Site,1.15,2.27,39778.8,2.237,116.9,9.89,33.36,8.4,13.585,2.68,5/28/21 1:24
5/28/21,1:29:42,0,Deployment Site,1.65,4.28,39746.9,2.238,116.5,9.86,33.36,8.4,13.549,2.68,5/28/21 1:29
5/28/21,1:34:42,0,Deployment Site,3.92,13.37,39795.1,2.24,117,9.89,33.35,8.4,13.605,2.67,5/28/21 1:34
5/28/21,1:39:42,0,Deployment Site,1.43,3.42,39814.4,2.241,117.2,9.9,33.35,8.41,13.625,2.68,5/28/21 1:39
5/28/21,1:44:42,0,Deployment Site,2.12,6.15,39815.5,2.242,117.1,9.89,33.36,8.41,13.616,2.68,5/28/21 1:44
5/28/21,1:49:42,0,Deployment Site,1.36,3.14,39822.3,2.243,116.9,9.88,33.37,8.41,13.621,2.67,5/28/21 1:49
5/28/21,1:54:42,0,Deployment Site,2.53,7.79,39817.6,2.243,117.1,9.89,33.36,8.41,13.624,2.68,5/28/21 1:54
5/28/21,1:59:42,0,Deployment Site,1,1.68,39796.8,2.245,116.4,9.84,33.36,8.4,13.596,2.66,5/28/21 1:59
5/28/21,2:04:42,0,Deployment Site,2.95,9.47,39803.7,2.246,116.3,9.83,33.36,8.4,13.611,2.67,5/28/21 2:04
5/28/21,2:09:42,0,Deployment Site,1.71,4.53,39797.6,2.246,116.5,9.84,33.35,8.4,13.608,2.68,5/28/21 2:09
5/28/21,2:14:42,0,Deployment Site,1.27,2.76,39764.8,2.247,115.9,9.81,33.34,8.4,13.587,2.68,5/28/21 2:14
5/28/21,2:19:42,0,Deployment Site,1.37,3.18,39656,2.249,114.5,9.7,33.31,8.4,13.501,2.68,5/28/21 2:19
5/28/21,2:24:42,0,Deployment Site,4.93,17.4,39674.2,2.25,114.7,9.72,33.32,8.4,13.51,2.67,5/28/21 2:24
5/28/21,2:29:42,0,Deployment Site,2.93,9.43,39663.3,2.252,114.7,9.71,33.31,8.39,13.515,2.68,5/28/21 2:29
5/28/21,2:34:42,0,Deployment Site,1.89,5.24,39710.4,2.253,115.4,9.77,33.33,8.4,13.54,2.67,5/28/21 2:34
5/28/21,2:39:42,0,Deployment Site,0.61,0.11,39800.9,2.253,116.4,9.84,33.34,8.41,13.622,2.66,5/28/21 2:39
5/28/21,2:44:42,0,Deployment Site,1.47,3.58,39797.5,2.253,116.5,9.85,33.36,8.41,13.605,2.67,5/28/21 2:44
5/28/21,2:49:42,0,Deployment Site,1.3,2.89,39770.5,2.254,116.1,9.82,33.34,8.4,13.594,2.66,5/28/21 2:49
5/28/21,2:54:42,0,Deployment Site,1.09,2.04,39842,2.255,117,9.88,33.36,8.41,13.649,2.66,5/28/21 2:54
5/28/21,2:59:42,0,Deployment Site,1.42,3.37,39860,2.257,117.3,9.9,33.37,8.41,13.661,2.68,5/28/21 2:59
5/28/21,3:04:42,0,Deployment Site,1.92,5.37,39858.4,2.258,117.1,9.88,33.37,8.41,13.659,2.66,5/28/21 3:04
5/28/21,3:09:42,0,Deployment Site,1.64,4.26,39851.3,2.26,116.8,9.86,33.37,8.4,13.651,2.67,5/28/21 3:09
