DateTime,Day.x,Hour,Sample.ID,Date.x,Cyanobacteria,Picoeuks,Nanoeuks,HourTime.x,Date.Time..GMT..0700,Temp....F.,Intensity....lum.ft2.,Host.Connect,Stopped,EOF,tmp.x,X,Date.y,Time.x,Time.Fraction,Site.Name,Chlorophyll.RFU,Chlorophyll.ugL,Conductivity.uscm,Depth.m,ODO.sat,ODO.mgL,Sal.psu,pH,Temp.C,Battery.V,newdate,txtdate,Seq.,Bottle,Time.y,Day.y,Date.x,PO4,Si.OH.4,NO3,NO2,NH4,HourTime.y,Date.y,Time.x,Temperature_F,dew.point_F,Humidity,Wind,wind.speed_mph,wind.gust_mph,pressure_in,precip_in,condition,rain.value,wind.dir.value,military.time,month.day,humidity.perc,tmp.y,moon_phase,variable,date,day,Time.y,feet
5/27/2021 9:51,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 9:51,63.19,483, , , ,5/27/2021 9:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 9:56,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 9:56,63.5,549, , , ,5/27/2021 9:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 10:01,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 10:01,63.89,495, , , ,5/27/2021 10:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 10:06,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 10:06,63.81,423, , , ,5/27/2021 10:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 10:11,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 10:11,63.96,405, , , ,5/27/2021 10:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 10:16,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 10:16,64.04,418, , , ,5/27/2021 10:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 10:46,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 10:46,57.09,537, , , ,5/27/2021 10:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 10:51,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 10:51,58.02,573, , , ,5/27/2021 10:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 10:56,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 10:56,57.56,335, , , ,5/27/2021 10:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:01,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:01,58.56,558, , , ,5/27/2021 11:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:06,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:06,57.63,367, , , ,5/27/2021 11:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:11,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:11,57.48,370, , , ,5/27/2021 11:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:16,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:16,57.4,213, , , ,5/27/2021 11:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:21,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:21,57.4,214, , , ,5/27/2021 11:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:26,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:26,57.32,142, , , ,5/27/2021 11:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:31,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:31,57.17,227, , , ,5/27/2021 11:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:36,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:36,57.32,165, , , ,5/27/2021 11:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:41,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:41,57.32,216, , , ,5/27/2021 11:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:46,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:46,57.25,174, , , ,5/27/2021 11:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:51,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:51,57.25,198, , , ,5/27/2021 11:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 11:56,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 11:56,57.25,255, , , ,5/27/2021 11:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:01,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:01,57.32,309, , , ,5/27/2021 12:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:06,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:06,57.25,212, , , ,5/27/2021 12:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:11,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:11,57.4,404, , , ,5/27/2021 12:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:16,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:16,57.48,364, , , ,5/27/2021 12:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:21,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:21,57.48,379, , , ,5/27/2021 12:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:26,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:26,57.48,552, , , ,5/27/2021 12:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:31,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:31,57.48,366, , , ,5/27/2021 12:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:36,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:36,57.63,735, , , ,5/27/2021 12:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:41,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:41,57.63,566, , , ,5/27/2021 12:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:46,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:46,57.56,482, , , ,5/27/2021 12:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:51,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:51,57.63,666, , , ,5/27/2021 12:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 12:56,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 12:56,57.63,978, , , ,5/27/2021 12:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:01,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:01,57.71,515, , , ,5/27/2021 13:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:06,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:06,57.56,522, , , ,5/27/2021 13:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:11,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:11,57.4,245, , , ,5/27/2021 13:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:16,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:16,57.48,110, , , ,5/27/2021 13:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:21,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:21,57.32,168, , , ,5/27/2021 13:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:26,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:26,57.32,183, , , ,5/27/2021 13:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:31,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:31,57.25,331, , , ,5/27/2021 13:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:36,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:36,57.32,214, , , ,5/27/2021 13:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:41,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:41,57.32,176, , , ,5/27/2021 13:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:46,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:46,57.32,344, , , ,5/27/2021 13:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:51,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:51,57.48,770, , , ,5/27/2021 13:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 13:56,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 13:56,57.56,548, , , ,5/27/2021 13:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 14:01,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 14:01,57.48,642, , , ,5/27/2021 14:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 14:06,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 14:06,57.25,360, , , ,5/27/2021 14:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 14:11,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 14:11,57.17,259, , , ,5/27/2021 14:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 14:16,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 14:16,57.17,241, , , ,5/27/2021 14:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 14:21,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 14:21,57.25,278, , , ,5/27/2021 14:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
